4,0.55,0.13,1,1,0,0,0.035,0.964,0,0.403,0.326,0,0,0,0,730,-47,-4.24,0.34,4.19,1.88,0,0.016,0.008,0.016,0.079,0.567,0.055,0.063,0.094,0.008,0,0,0,0,0.008,0.087,3.31,12.52,6,7.52,0.9,4,16,16,2.94,14.6,2.01,3.21,0.48,0.03,0.3,0.19,0.19,0,0,0,0,0,7,10,76.068,5007,877
4,0.56,0.13,1,1,0,0.008,0,0.001,0.094,-0.783,-0.273,0.432,-0.864,0,0,730,-45,-4.02,0.14,3.23,0.82,0,0.016,0,0.024,0.008,0.543,0.047,0.102,0.126,0.008,0.008,0.008,0.016,0,0.008,0.087,0,13,10.56,5,0.9,1,16,16,2.94,14.6,2.01,0,0.48,0.03,0.3,0.19,0.04,0,0,1,0,0.002,3,3,76.068,1235,1183
1,0.72,0.08,1,1,0,0.001,0,0.001,-2.101,-1.807,-1.762,0.523,-1.05,0,0,0,71,2.31,0.32,-0.99,0.63,0,0,0.008,0,0,0.346,0.016,0.071,0,0,0,0,0.008,0.118,0.157,0.276,3.11,2,12.2,3,0.4,2,2.5,3.45,0,0,0,0,0.1,0.01,0.01,0.04,0.04,0,0,0,0,0,1,1,58.4207,4528,173
2,0.64,0.09,1,1,0.97,0.008,0.008,0.008,0.176,0.173,0.179,0.109,0.109,0,0,0,60,-2.13,0.08,2.06,-0.97,0,0,0,0,0,0.165,0.008,0,0,0,0,0,0,0.055,0.37,0.402,4.89,5,14.08,3,0,2,7.37,6.8,1.89,2.25,1.83,2.95,0.18,0.02,0.04,0.18,0.19,6,0.52,0,0,0,0,0,0,1405,2074
2,0.69,0.04,0.5,0.5,0.97,0.035,0.034,0.041,0.292,0.287,0.295,0.185,0.185,0,0,0,-52,0.7,0.32,2.42,1.87,0,0,0,0,0.008,0.157,0,0,0,0,0,0,0,0.031,0.402,0.402,23.98,2,4.52,2,0,2,7.37,6.8,3.17,5.65,1.83,2.95,0.18,0.03,0.09,0.18,0.19,1,0.2,0,0,0,0,0,0,1961,1518
1,0.72,0.07,0.5,0.5,0.97,0.006,0.001,0.001,-0.774,-0.409,-0.368,0.608,-1.22,0,0,829,89,1.44,0.2,-2.41,0.12,0,0,0,0,0,0.134,0,0.016,0.008,0.008,0,0,0.008,0.079,0.362,0.386,3.55,3,3,2.6,1.4,2,7.37,6.8,1.89,2.25,1.83,2.95,0.18,0.02,0.04,0.18,0.19,3,0.47,0,0,0,0,0,0,3489,11
1,0.52,0.07,0.5,1,0.97,0.011,0.002,0.002,0.319,0.499,0.531,0.608,0.608,0,0,829,-24,0.43,0.17,3.2,0.88,0,0,0,0,0,0.126,0,0.024,0.008,0.016,0,0,0.008,0.087,0.346,0.386,7.11,2.08,6.04,3.44,2.9,2,7.37,6.8,1.89,2.25,1.83,2.95,0.18,0.02,0.04,0.18,0.19,0,0,0,0,0,0,0,0,3667,189
2,0.65,0.07,1,1,0,0,0,0,0.307,-0.058,-0.073,2.65,-0.355,0,0,834,-10,-4.02,0.12,5.03,0.94,0,0,0,0.031,0.157,0.402,0.079,0.031,0.016,0,0,0,0,0.016,0.071,0.197,12.62,6,4,2,2.3,2,16,16,5.48,6.98,2.03,2.03,0.94,0.04,0.13,0.16,0.12,0,0,0,0,0,1,1,40.6821,269,115
2,0.7,0.07,1,1,0,0.001,0,0,0.604,-0.447,-0.21,3.94,-1.62,0,0,834,-44,-3.4,0.09,4.17,0.86,0,0.016,0.039,0,0,0.173,0,0.181,0.008,0.024,0.008,0.008,0.071,0.031,0.087,0.354,0,4.2,11.8,6.48,0.5,2,1.73,2.57,0.68,1.96,2.97,0,0.07,0.01,0.05,0.27,0.04,0,0,0,0,0,0,0,0,139,363
2,0.65,0.08,1,1,0,0,0,0,-1.006,-2.368,-2.207,2.3,-4.59,0,0,834,49,-1.89,0.35,1.46,-0.67,0,0.008,0,0,0,0.134,0,0.213,0,0.024,0.008,0.008,0.071,0.055,0.087,0.394,0,4.44,9.16,2.12,0.7,2,9.19,8.22,2.37,1.74,2.97,2.32,0.22,0.02,0.04,0.27,0.07,0,0,0,0,0,0,0,0,570,849
2,0.64,0.07,1,1,0,0,0,0,-0.375,-1.942,-2.018,2.54,-5.07,0,0,834,-64,-3.46,0.02,3.82,0.45,0,0.031,0.134,0,0,0.024,0,0.181,0,0.024,0.008,0.055,0.016,0.024,0.102,0.402,0,4.48,15.92,25.84,0.8,2,9.19,8.22,2.37,1.74,0,2.32,0.22,0.02,0.04,0.05,0.07,0,0,0,0,0,1,1,37.3026,153,1571
2,0.62,0.05,0.5,1,0,0.03,0.004,0.013,0.255,0.67,1.114,1.61,1.61,0,0,834,-78,-4.37,0.29,3.99,0.93,0,0,0,0,0,0.024,0,0.008,0.008,0.039,0,0,0,0.071,0.331,0.52,0.84,3,4.36,4,0.7,2,1.6,2.42,0,0,0,0,0.05,0.01,0.01,0.02,0.01,0,0,0,0,0,1,1,45.5155,31837,6732
2,0.36,0.01,0,1,0,0.002,0.004,0.004,0.158,-0.205,-0.19,0.867,-0.617,0,0,838,11,0.91,-0.03,-1.53,0.1,0,0,0,0,0,0.055,0,0.016,0,0.039,0,0.016,0.008,0.063,0.409,0.394,0,6.04,5,3.8,3.1,3,0.83,0,1.47,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,2579,2542
